Flight Information:
Launch Date:            	     	                        	Wednesday, 08 July 2020	        	                   	           	Launch Time: 	       	            	17:01:31  	       	     	End of Ascent:	     	         	01:53:03
Station name:           	     	                        	                       	        	                   	           	Serialnumber:	       	            	20027770
Ground values:
Pressure:               	     	                        	905.0 hPa              	        	                   	           	Temperature: 	       	            	16.0 °C   	       	     	Humidity:     	     	         	47 %
Wind Direction:         	     	                        	251 °                  	        	                   	           	Wind Speed:  	       	            	2 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                        	-113.985 °             	        	                   	           	Latitude:    	       	            	46.860 °  	       	     	Altitude:     	     	         	978 m
Staff:
Company:                	     	                        	
Operator:               	     	                        	                       	        	                   	           	
Events:
Highest Point:          	     	                        	30.0 hPa               	        	                   	           	35021 m
Tropopauses:            	     	                        	                       	        	                   	           	             	       	            	
Max Winds:              	     	                        	1.: 316.4 hPa          	        	                   	           	             	       	            	
Remarks:

Profile Data:
Time                    	P    	T                       	Hu                     	Ws      	Wd                 	Long.      	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                    	[%]                    	[m/s]   	[°]                	[°]        	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	905.0	16.0                    	47                     	2.3     	251                	-113.985007	46.859695    	978    	978         	398.520   	244.974	4.7  	17.0          	0.0  	46.9     	360     	1      	1.090545
1                       	903.7	15.9                    	47                     	2.4     	251                	-113.984919	46.859758    	991    	991         	400.224   	244.716	4.5  	16.9          	12.5 	52.3     	042     	16     	1.089432
2                       	902.3	15.7                    	46                     	2.5     	250                	-113.984831	46.859820    	1003   	1003        	401.944   	244.458	4.3  	16.7          	12.5 	52.4     	043     	32     	1.088321
3                       	901.0	15.6                    	46                     	2.6     	250                	-113.984743	46.859883    	1016   	1016        	403.649   	244.200	4.1  	16.6          	12.5 	52.3     	043     	48     	1.087211
4                       	899.7	15.5                    	46                     	2.7     	250                	-113.984654	46.859946    	1028   	1028        	405.354   	243.942	3.9  	16.5          	12.5 	52.3     	044     	64     	1.086102
5                       	898.3	15.3                    	46                     	2.8     	250                	-113.984566	46.860009    	1041   	1041        	407.075   	243.685	3.7  	16.3          	12.5 	52.3     	044     	80     	1.084995
6                       	897.0	15.2                    	45                     	2.8     	249                	-113.984478	46.860071    	1053   	1053        	408.780   	243.428	3.5  	16.2          	12.5 	52.3     	044     	96     	1.083889
7                       	895.7	15.1                    	45                     	2.9     	249                	-113.984390	46.860134    	1066   	1066        	410.482   	243.167	3.3  	16.0          	12.5 	52.3     	044     	111    	1.082765
8                       	894.4	15.0                    	45                     	3.0     	249                	-113.984302	46.860197    	1078   	1078        	412.175   	242.881	3.2  	15.9          	12.5 	52.3     	044     	127    	1.081499
9                       	893.0	14.9                    	45                     	3.1     	249                	-113.984214	46.860260    	1091   	1091        	413.865   	242.609	3.1  	15.8          	12.5 	52.3     	044     	143    	1.080234
10                      	891.7	14.8                    	45                     	3.2     	249                	-113.984125	46.860322    	1103   	1103        	415.555   	242.337	3.1  	15.7          	12.5 	52.3     	044     	159    	1.078971
11                      	890.4	14.7                    	45                     	3.3     	248                	-113.984037	46.860385    	1116   	1116        	417.261   	242.065	3.1  	15.7          	12.5 	52.3     	044     	175    	1.077710
12                      	889.1	14.6                    	46                     	3.4     	248                	-113.983949	46.860448    	1128   	1128        	418.953   	241.794	3.1  	15.6          	12.5 	52.3     	044     	191    	1.076450
13                      	887.8	14.5                    	46                     	3.5     	248                	-113.983861	46.860511    	1141   	1141        	420.643   	241.522	3.0  	15.5          	12.5 	52.3     	044     	206    	1.075189
14                      	886.4	14.5                    	46                     	3.6     	248                	-113.983773	46.860573    	1154   	1153        	422.350   	241.251	3.0  	15.4          	12.5 	52.3     	044     	222    	1.073930
15                      	885.1	14.4                    	46                     	3.7     	248                	-113.983685	46.860636    	1166   	1166        	424.042   	240.980	3.0  	15.3          	12.5 	52.3     	044     	238    	1.072672
16                      	883.8	14.3                    	46                     	3.7     	248                	-113.983616	46.860651    	1179   	1179        	425.734   	240.709	2.9  	15.2          	12.5 	53.2     	045     	251    	1.071416
17                      	882.5	14.2                    	47                     	3.8     	248                	-113.983557	46.860643    	1191   	1191        	427.442   	240.439	2.9  	15.1          	12.5 	54.4     	046     	263    	1.070161
18                      	881.2	14.1                    	47                     	3.9     	247                	-113.983498	46.860636    	1204   	1204        	429.134   	240.169	2.9  	15.0          	12.5 	55.4     	048     	274    	1.068908
19                      	880.2	14.0                    	47                     	4.0     	247                	-113.983439	46.860628    	1216   	1216        	430.901   	239.974	2.9  	14.9          	12.5 	56.4     	049     	286    	1.067989
20                      	879.1	13.9                    	47                     	4.1     	247                	-113.983380	46.860621    	1227   	1227        	432.374   	239.782	2.8  	14.8          	10.5 	57.0     	050     	297    	1.067085
21                      	878.1	13.8                    	47                     	4.2     	247                	-113.983321	46.860613    	1236   	1236        	433.604   	239.599	2.8  	14.7          	9.1  	57.5     	051     	306    	1.066210
22                      	877.1	13.7                    	48                     	4.3     	247                	-113.983262	46.860606    	1245   	1245        	434.850   	239.416	2.8  	14.6          	9.1  	57.9     	053     	315    	1.065336
23                      	876.1	13.6                    	48                     	4.4     	247                	-113.983202	46.860598    	1254   	1254        	436.096   	239.234	2.8  	14.5          	9.1  	58.3     	054     	325    	1.064463
24                      	875.0	13.5                    	48                     	4.5     	247                	-113.983143	46.860591    	1263   	1263        	437.327   	239.052	2.7  	14.4          	9.1  	58.7     	055     	334    	1.063591
25                      	874.1	13.4                    	48                     	4.6     	247                	-113.983084	46.860583    	1272   	1272        	438.596   	238.892	2.7  	14.3          	9.1  	59.0     	056     	344    	1.062821
26                      	873.2	13.3                    	48                     	4.7     	247                	-113.983025	46.860576    	1281   	1281        	439.850   	238.733	2.7  	14.2          	9.1  	59.3     	057     	353    	1.062052
27                      	872.2	13.2                    	49                     	4.7     	247                	-113.982966	46.860568    	1290   	1290        	441.120   	238.574	2.7  	14.1          	9.1  	59.6     	058     	362    	1.061284
28                      	871.3	13.1                    	49                     	4.8     	246                	-113.982907	46.860561    	1299   	1299        	442.374   	238.415	2.6  	14.0          	9.1  	59.8     	059     	372    	1.060517
29                      	870.3	13.0                    	49                     	4.9     	246                	-113.982848	46.860553    	1308   	1308        	443.644   	238.257	2.6  	13.9          	9.1  	60.0     	060     	382    	1.059750
30                      	869.4	12.9                    	49                     	5.0     	246                	-113.982788	46.860546    	1317   	1317        	444.899   	238.098	2.6  	13.8          	9.1  	60.3     	061     	391    	1.058984
31                      	868.5	12.8                    	50                     	5.0     	248                	-113.982729	46.860538    	1326   	1326        	446.168   	237.939	2.6  	13.7          	9.1  	60.5     	062     	401    	1.058216
32                      	867.5	12.7                    	50                     	5.1     	249                	-113.982670	46.860531    	1335   	1335        	447.423   	237.781	2.5  	13.6          	9.1  	60.6     	062     	410    	1.057449
33                      	866.6	12.6                    	50                     	5.1     	250                	-113.982611	46.860524    	1344   	1344        	448.693   	237.622	2.5  	13.5          	9.1  	60.8     	063     	420    	1.056682
34                      	865.7	12.5                    	50                     	5.1     	252                	-113.982552	46.860516    	1354   	1353        	449.952   	237.452	2.5  	13.4          	9.1  	61.0     	064     	430    	1.055859
35                      	864.7	12.4                    	51                     	5.1     	253                	-113.982493	46.860509    	1363   	1362        	451.193   	237.281	2.5  	13.3          	9.1  	61.1     	065     	440    	1.055024
36                      	863.8	12.4                    	51                     	5.1     	255                	-113.982434	46.860501    	1372   	1371        	452.451   	237.110	2.5  	13.3          	9.1  	61.3     	065     	449    	1.054191
37                      	862.9	12.3                    	51                     	5.2     	256                	-113.982375	46.860494    	1381   	1381        	453.692   	236.938	2.5  	13.2          	9.1  	61.4     	066     	459    	1.053356
38                      	861.9	12.2                    	51                     	5.2     	257                	-113.982315	46.860486    	1390   	1390        	454.950   	236.767	2.5  	13.1          	9.1  	61.5     	067     	469    	1.052521
39                      	861.0	12.1                    	52                     	5.2     	259                	-113.982256	46.860479    	1399   	1399        	456.192   	236.596	2.5  	13.0          	9.1  	61.6     	067     	479    	1.051688
40                      	860.1	12.0                    	52                     	5.2     	260                	-113.982197	46.860471    	1408   	1408        	457.450   	236.425	2.5  	12.9          	9.1  	61.7     	068     	488    	1.050855
41                      	859.1	11.9                    	52                     	5.2     	262                	-113.982138	46.860464    	1417   	1417        	458.692   	236.254	2.5  	12.9          	9.1  	61.8     	069     	498    	1.050023
42                      	858.2	11.9                    	53                     	5.2     	263                	-113.982079	46.860456    	1426   	1426        	459.950   	236.084	2.5  	12.8          	9.1  	61.9     	069     	508    	1.049192
43                      	857.3	11.8                    	53                     	5.3     	264                	-113.982020	46.860449    	1435   	1435        	461.198   	235.919	2.5  	12.7          	9.1  	62.0     	070     	518    	1.048387
44                      	856.4	11.7                    	53                     	5.3     	266                	-113.981961	46.860441    	1444   	1444        	462.462   	235.754	2.5  	12.6          	9.1  	62.1     	070     	528    	1.047582
45                      	855.5	11.6                    	53                     	5.3     	267                	-113.981901	46.860434    	1453   	1453        	463.727   	235.590	2.5  	12.5          	9.1  	62.2     	071     	538    	1.046778
46                      	854.6	11.5                    	54                     	5.3     	269                	-113.981839	46.860427    	1462   	1462        	464.976   	235.426	2.5  	12.5          	9.1  	62.2     	071     	548    	1.045975
47                      	853.7	11.5                    	54                     	5.3     	270                	-113.981757	46.860426    	1471   	1471        	466.188   	235.257	2.5  	12.4          	8.8  	62.1     	072     	558    	1.045154
48                      	852.8	11.4                    	54                     	5.4     	271                	-113.981675	46.860425    	1479   	1479        	467.261   	235.074	2.5  	12.3          	8.0  	62.0     	072     	568    	1.044294
49                      	852.0	11.3                    	54                     	5.4     	273                	-113.981593	46.860424    	1487   	1487        	468.359   	234.915	2.5  	12.2          	8.0  	61.8     	073     	578    	1.043541
50                      	851.2	11.3                    	55                     	5.4     	274                	-113.981511	46.860422    	1495   	1495        	469.456   	234.757	2.5  	12.2          	8.0  	61.7     	073     	588    	1.042789
51                      	850.4	11.2                    	55                     	5.4     	275                	-113.981429	46.860421    	1503   	1503        	470.538   	234.598	2.4  	12.1          	8.0  	61.5     	073     	597    	1.042037
52                      	849.5	11.1                    	55                     	5.4     	277                	-113.981347	46.860420    	1511   	1511        	471.635   	234.439	2.4  	12.0          	8.0  	61.4     	074     	607    	1.041287
53                      	848.7	11.1                    	55                     	5.5     	278                	-113.981265	46.860419    	1519   	1519        	472.733   	234.281	2.4  	12.0          	8.0  	61.3     	074     	617    	1.040536
54                      	847.9	11.0                    	55                     	5.5     	279                	-113.981183	46.860418    	1527   	1527        	473.831   	234.123	2.4  	11.9          	8.0  	61.1     	075     	627    	1.039786
55                      	847.1	10.9                    	55                     	5.5     	280                	-113.981100	46.860416    	1535   	1535        	474.913   	233.965	2.4  	11.8          	8.0  	61.0     	075     	637    	1.039036
56                      	846.3	10.9                    	56                     	5.5     	281                	-113.981018	46.860415    	1543   	1543        	476.010   	233.806	2.3  	11.8          	8.0  	60.9     	075     	647    	1.038286
57                      	845.5	10.8                    	56                     	5.5     	283                	-113.980936	46.860414    	1551   	1551        	477.108   	233.648	2.3  	11.7          	8.0  	60.8     	075     	657    	1.037536
58                      	844.7	10.7                    	56                     	5.6     	284                	-113.980854	46.860413    	1559   	1559        	478.191   	233.490	2.3  	11.6          	8.0  	60.6     	076     	667    	1.036787
59                      	843.9	10.7                    	56                     	5.5     	285                	-113.980772	46.860412    	1567   	1566        	479.289   	233.333	2.3  	11.6          	8.0  	60.5     	076     	677    	1.036039
60                      	843.1	10.6                    	56                     	5.6     	286                	-113.980690	46.860410    	1575   	1574        	480.387   	233.175	2.3  	11.5          	8.0  	60.4     	076     	686    	1.035292
61                      	842.3	10.5                    	56                     	5.6     	285                	-113.980608	46.860409    	1583   	1582        	481.500   	233.031	2.2  	11.4          	8.0  	60.3     	077     	696    	1.034600
62                      	841.5	10.4                    	57                     	5.6     	285                	-113.980526	46.860408    	1591   	1590        	482.597   	232.888	2.2  	11.3          	8.0  	60.2     	077     	706    	1.033908
63                      	840.7	10.3                    	57                     	5.7     	284                	-113.980444	46.860407    	1599   	1598        	483.710   	232.745	2.2  	11.3          	8.0  	60.1     	077     	716    	1.033217
64                      	839.9	10.3                    	57                     	5.7     	283                	-113.980362	46.860406    	1607   	1606        	484.823   	232.602	2.1  	11.2          	8.0  	60.0     	077     	726    	1.032526
65                      	839.1	10.2                    	57                     	5.7     	283                	-113.980279	46.860404    	1615   	1614        	485.936   	232.459	2.1  	11.1          	8.0  	59.9     	078     	736    	1.031835
66                      	838.3	10.1                    	57                     	5.7     	282                	-113.980197	46.860403    	1622   	1622        	487.033   	232.317	2.1  	11.0          	8.0  	59.8     	078     	746    	1.031146
67                      	837.5	10.0                    	58                     	5.8     	282                	-113.980115	46.860402    	1630   	1630        	488.146   	232.174	2.1  	10.9          	8.0  	59.7     	078     	756    	1.030455
68                      	836.6	9.9                     	58                     	5.8     	281                	-113.980033	46.860401    	1638   	1638        	489.260   	232.031	2.0  	10.8          	8.0  	59.6     	078     	766    	1.029765
69                      	835.8	9.9                     	58                     	5.8     	280                	-113.979951	46.860400    	1646   	1646        	490.373   	231.888	2.0  	10.8          	8.0  	59.5     	078     	776    	1.029075
70                      	835.0	9.8                     	58                     	5.9     	280                	-113.979869	46.860398    	1654   	1654        	491.471   	231.746	2.0  	10.7          	8.0  	59.4     	079     	786    	1.028386
71                      	834.2	9.7                     	58                     	6.0     	279                	-113.979787	46.860397    	1662   	1662        	492.585   	231.603	2.0  	10.6          	8.0  	59.3     	079     	796    	1.027698
72                      	833.4	9.6                     	59                     	6.0     	278                	-113.979705	46.860396    	1670   	1670        	493.698   	231.461	1.9  	10.5          	8.0  	59.3     	079     	806    	1.027010
73                      	832.6	9.5                     	59                     	6.0     	278                	-113.979623	46.860395    	1678   	1678        	494.795   	231.317	1.9  	10.4          	8.0  	59.2     	079     	816    	1.026314
74                      	831.8	9.4                     	59                     	6.1     	277                	-113.979541	46.860394    	1686   	1686        	495.917   	231.183	1.9  	10.3          	8.0  	59.1     	079     	826    	1.025658
75                      	831.0	9.3                     	59                     	6.1     	277                	-113.979458	46.860392    	1694   	1694        	497.045   	231.055	1.8  	10.2          	8.0  	59.0     	080     	836    	1.025019
76                      	830.2	9.2                     	60                     	6.1     	276                	-113.979373	46.860393    	1702   	1702        	498.173   	230.927	1.8  	10.1          	8.0  	58.9     	080     	846    	1.024381
77                      	829.4	9.1                     	60                     	6.2     	276                	-113.979284	46.860394    	1710   	1710        	499.316   	230.799	1.8  	10.0          	8.1  	58.8     	080     	856    	1.023743
78                      	828.6	9.1                     	60                     	6.2     	275                	-113.979195	46.860396    	1718   	1718        	500.460   	230.672	1.7  	9.9           	8.1  	58.7     	080     	867    	1.023105
79                      	827.8	9.0                     	60                     	6.2     	275                	-113.979105	46.860397    	1727   	1726        	501.602   	230.541	1.7  	9.8           	8.1  	58.6     	080     	877    	1.022457
80                      	827.0	8.9                     	61                     	6.2     	274                	-113.979016	46.860399    	1735   	1734        	502.744   	230.411	1.7  	9.7           	8.1  	58.5     	080     	888    	1.021809
81                      	826.2	8.8                     	61                     	6.2     	273                	-113.978927	46.860400    	1743   	1743        	503.886   	230.282	1.6  	9.6           	8.1  	58.4     	080     	898    	1.021162
82                      	825.4	8.7                     	61                     	6.3     	273                	-113.978838	46.860402    	1751   	1751        	505.028   	230.152	1.6  	9.5           	8.1  	58.3     	080     	909    	1.020516
83                      	824.6	8.6                     	61                     	6.3     	272                	-113.978748	46.860403    	1759   	1759        	506.170   	230.022	1.6  	9.5           	8.1  	58.2     	081     	919    	1.019870
84                      	823.8	8.5                     	62                     	6.4     	272                	-113.978659	46.860405    	1767   	1767        	507.312   	229.893	1.6  	9.4           	8.1  	58.1     	081     	929    	1.019224
85                      	823.0	8.4                     	62                     	6.4     	271                	-113.978570	46.860406    	1775   	1775        	508.454   	229.763	1.5  	9.3           	8.1  	58.0     	081     	940    	1.018577
86                      	822.2	8.3                     	62                     	6.4     	271                	-113.978481	46.860408    	1783   	1783        	509.596   	229.634	1.5  	9.2           	8.1  	58.0     	081     	950    	1.017931
87                      	821.4	8.2                     	62                     	6.5     	270                	-113.978392	46.860409    	1791   	1791        	510.736   	229.501	1.5  	9.1           	8.1  	57.9     	081     	961    	1.017272
88                      	820.6	8.1                     	63                     	6.5     	270                	-113.978302	46.860411    	1799   	1799        	511.859   	229.354	1.4  	9.0           	8.1  	57.8     	081     	971    	1.016566
89                      	819.8	8.0                     	63                     	6.6     	269                	-113.978213	46.860412    	1808   	1807        	512.983   	229.205	1.4  	8.9           	8.1  	57.7     	081     	982    	1.015861
90                      	819.0	7.9                     	63                     	6.6     	269                	-113.978124	46.860414    	1816   	1815        	514.107   	229.057	1.3  	8.8           	8.1  	57.6     	081     	992    	1.015155
91                      	818.2	7.9                     	63                     	6.6     	269                	-113.978035	46.860415    	1824   	1823        	515.230   	228.909	1.3  	8.7           	8.1  	57.6     	081     	1003   	1.014449
92                      	817.4	7.8                     	63                     	6.6     	268                	-113.977945	46.860417    	1832   	1832        	516.354   	228.761	1.3  	8.6           	8.1  	57.5     	081     	1013   	1.013743
93                      	816.5	7.7                     	63                     	6.6     	268                	-113.977856	46.860418    	1840   	1840        	517.477   	228.613	1.2  	8.6           	8.1  	57.4     	082     	1024   	1.013037
94                      	815.7	7.6                     	64                     	6.6     	267                	-113.977767	46.860420    	1848   	1848        	518.601   	228.465	1.2  	8.5           	8.1  	57.3     	082     	1034   	1.012333
95                      	814.9	7.5                     	64                     	6.7     	267                	-113.977678	46.860421    	1856   	1856        	519.725   	228.317	1.1  	8.4           	8.1  	57.3     	082     	1044   	1.011628
96                      	814.1	7.5                     	64                     	6.7     	267                	-113.977589	46.860423    	1864   	1864        	520.849   	228.170	1.1  	8.3           	8.1  	57.2     	082     	1055   	1.010925
97                      	813.3	7.4                     	64                     	6.7     	266                	-113.977499	46.860424    	1872   	1872        	521.973   	228.022	1.0  	8.2           	8.1  	57.1     	082     	1065   	1.010220
98                      	812.6	7.3                     	64                     	6.7     	266                	-113.977410	46.860426    	1880   	1880        	523.097   	227.874	1.0  	8.2           	8.1  	57.0     	082     	1076   	1.009516
99                      	811.8	7.2                     	64                     	6.7     	265                	-113.977321	46.860427    	1889   	1888        	524.221   	227.726	1.0  	8.1           	8.1  	57.0     	082     	1086   	1.008812
100                     	811.0	7.1                     	64                     	6.7     	265                	-113.977232	46.860429    	1897   	1896        	525.345   	227.579	0.9  	8.0           	8.1  	56.9     	082     	1097   	1.008109
101                     	810.2	7.1                     	65                     	6.7     	265                	-113.977142	46.860431    	1905   	1904        	526.461   	227.423	0.9  	7.9           	8.1  	56.9     	082     	1107   	1.007365
102                     	809.4	7.0                     	65                     	6.8     	264                	-113.977053	46.860432    	1913   	1913        	527.574   	227.264	0.9  	7.9           	8.1  	56.8     	082     	1118   	1.006603
103                     	808.6	6.9                     	65                     	6.8     	264                	-113.976964	46.860434    	1921   	1921        	528.698   	227.117	0.9  	7.8           	8.1  	56.7     	082     	1128   	1.005894
104                     	807.9	6.9                     	65                     	6.8     	264                	-113.976875	46.860435    	1929   	1929        	529.823   	226.970	0.8  	7.7           	8.1  	56.7     	082     	1139   	1.005186
105                     	807.1	6.8                     	65                     	6.8     	263                	-113.976786	46.860437    	1937   	1937        	530.948   	226.823	0.8  	7.7           	8.1  	56.6     	082     	1149   	1.004478
106                     	806.4	6.8                     	66                     	6.8     	263                	-113.976696	46.860440    	1945   	1945        	532.042   	226.677	0.8  	7.6           	8.0  	56.5     	083     	1160   	1.003771
107                     	805.6	6.7                     	66                     	6.8     	262                	-113.976607	46.860455    	1952   	1952        	532.978   	226.530	0.8  	7.5           	6.9  	56.4     	082     	1169   	1.003064
108                     	804.9	6.6                     	66                     	6.9     	262                	-113.976517	46.860471    	1959   	1958        	533.915   	226.383	0.8  	7.5           	6.9  	56.3     	082     	1179   	1.002357
109                     	804.2	6.6                     	66                     	6.9     	262                	-113.976427	46.860487    	1966   	1965        	534.858   	226.259	0.7  	7.4           	6.9  	56.2     	082     	1188   	1.001748
110                     	803.5	6.5                     	66                     	6.9     	261                	-113.976338	46.860502    	1973   	1972        	535.816   	226.134	0.7  	7.3           	6.9  	56.1     	082     	1198   	1.001139
111                     	802.8	6.4                     	67                     	6.9     	261                	-113.976248	46.860518    	1979   	1979        	536.759   	226.009	0.7  	7.3           	6.9  	56.0     	082     	1208   	1.000530
112                     	802.2	6.4                     	67                     	6.9     	260                	-113.976158	46.860533    	1986   	1986        	537.718   	225.884	0.7  	7.2           	6.9  	56.0     	082     	1217   	0.999922
113                     	801.5	6.3                     	67                     	6.9     	260                	-113.976069	46.860549    	1993   	1993        	538.677   	225.760	0.7  	7.2           	6.9  	55.9     	082     	1227   	0.999315
114                     	800.8	6.2                     	67                     	6.8     	259                	-113.975979	46.860565    	2000   	2000        	539.622   	225.637	0.6  	7.1           	6.9  	55.8     	082     	1236   	0.998715
115                     	800.2	6.2                     	67                     	6.8     	259                	-113.975889	46.860580    	2007   	2006        	540.589   	225.522	0.6  	7.0           	6.9  	55.7     	082     	1246   	0.998137
116                     	799.5	6.1                     	68                     	6.8     	259                	-113.975800	46.860596    	2014   	2013        	541.557   	225.406	0.6  	6.9           	6.9  	55.6     	082     	1256   	0.997560
117                     	798.8	6.0                     	68                     	6.8     	258                	-113.975710	46.860611    	2021   	2020        	542.509   	225.291	0.6  	6.9           	6.9  	55.5     	082     	1265   	0.996983
118                     	798.2	6.0                     	68                     	6.8     	258                	-113.975621	46.860627    	2027   	2027        	543.478   	225.176	0.6  	6.8           	6.9  	55.4     	082     	1275   	0.996407
119                     	797.5	5.9                     	68                     	6.8     	257                	-113.975531	46.860643    	2034   	2034        	544.430   	225.061	0.5  	6.7           	6.9  	55.3     	082     	1285   	0.995831
120                     	796.8	5.8                     	69                     	6.8     	257                	-113.975441	46.860658    	2041   	2041        	545.398   	224.945	0.5  	6.7           	6.9  	55.3     	082     	1294   	0.995255
121                     	796.2	5.7                     	69                     	6.8     	256                	-113.975352	46.860674    	2048   	2048        	546.366   	224.830	0.5  	6.6           	6.9  	55.2     	082     	1304   	0.994679
122                     	795.5	5.7                     	69                     	6.8     	256                	-113.975262	46.860689    	2055   	2054        	547.319   	224.715	0.5  	6.5           	6.9  	55.1     	082     	1313   	0.994102
123                     	794.8	5.6                     	69                     	6.8     	255                	-113.975172	46.860705    	2062   	2061        	548.287   	224.600	0.5  	6.4           	6.9  	55.0     	081     	1323   	0.993527
124                     	794.2	5.5                     	70                     	6.8     	255                	-113.975083	46.860720    	2069   	2068        	549.240   	224.485	0.4  	6.4           	6.9  	54.9     	081     	1333   	0.992951
125                     	793.5	5.5                     	70                     	6.8     	254                	-113.974993	46.860736    	2075   	2075        	550.208   	224.370	0.4  	6.3           	6.9  	54.9     	081     	1342   	0.992376
126                     	792.8	5.4                     	70                     	6.8     	254                	-113.974903	46.860752    	2082   	2082        	551.177   	224.255	0.4  	6.2           	6.9  	54.8     	081     	1352   	0.991802
127                     	792.2	5.3                     	70                     	6.8     	253                	-113.974814	46.860767    	2089   	2089        	552.129   	224.141	0.4  	6.1           	6.9  	54.7     	081     	1362   	0.991226
128                     	791.5	5.2                     	71                     	6.8     	253                	-113.974724	46.860783    	2096   	2096        	553.094   	224.022	0.3  	6.1           	6.9  	54.6     	081     	1371   	0.990631
129                     	790.8	5.2                     	71                     	6.8     	252                	-113.974634	46.860798    	2103   	2102        	554.042   	223.903	0.3  	6.0           	6.9  	54.6     	081     	1381   	0.990032
130                     	790.2	5.1                     	71                     	6.8     	252                	-113.974545	46.860814    	2110   	2109        	555.006   	223.783	0.3  	5.9           	6.9  	54.5     	081     	1391   	0.989433
131                     	789.5	5.0                     	71                     	6.8     	253                	-113.974455	46.860830    	2117   	2116        	555.970   	223.664	0.3  	5.9           	6.9  	54.4     	081     	1400   	0.988835
132                     	788.8	5.0                     	72                     	6.9     	254                	-113.974366	46.860845    	2123   	2123        	556.919   	223.545	0.3  	5.8           	6.9  	54.3     	081     	1410   	0.988237
133                     	788.2	4.9                     	72                     	7.0     	255                	-113.974276	46.860861    	2130   	2130        	557.887   	223.430	0.3  	5.7           	6.9  	54.3     	081     	1420   	0.987657
134                     	787.6	4.9                     	72                     	7.0     	256                	-113.974186	46.860876    	2137   	2137        	558.840   	223.316	0.3  	5.7           	6.9  	54.2     	081     	1429   	0.987077
135                     	786.9	4.8                     	72                     	7.1     	257                	-113.974097	46.860892    	2144   	2144        	559.809   	223.201	0.3  	5.6           	6.9  	54.1     	081     	1439   	0.986497
136                     	786.3	4.7                     	73                     	7.2     	258                	-113.974005	46.860907    	2151   	2150        	560.762   	223.086	0.3  	5.6           	6.8  	54.1     	081     	1449   	0.985919
137                     	785.6	4.7                     	73                     	7.4     	259                	-113.973894	46.860917    	2157   	2157        	561.652   	222.972	0.2  	5.5           	6.4  	53.9     	081     	1459   	0.985340
138                     	785.0	4.6                     	73                     	7.4     	260                	-113.973784	46.860927    	2164   	2163        	562.558   	222.857	0.2  	5.4           	6.4  	53.8     	081     	1469   	0.984762
139                     	784.4	4.5                     	73                     	7.5     	260                	-113.973673	46.860936    	2170   	2170        	563.456   	222.750	0.2  	5.4           	6.4  	53.7     	081     	1479   	0.984217
140                     	783.7	4.5                     	74                     	7.6     	261                	-113.973563	46.860946    	2177   	2176        	564.354   	222.643	0.2  	5.3           	6.4  	53.6     	081     	1490   	0.983673
141                     	783.1	4.4                     	74                     	7.7     	262                	-113.973452	46.860956    	2183   	2182        	565.249   	222.534	0.2  	5.2           	6.4  	53.5     	081     	1500   	0.983120
142                     	782.5	4.3                     	74                     	7.7     	263                	-113.973342	46.860966    	2189   	2189        	566.153   	222.417	0.2  	5.2           	6.4  	53.4     	081     	1510   	0.982554
143                     	781.9	4.3                     	74                     	7.8     	264                	-113.973231	46.860976    	2196   	2195        	567.042   	222.301	0.1  	5.1           	6.4  	53.3     	081     	1520   	0.981989
144                     	781.3	4.2                     	74                     	7.9     	264                	-113.973121	46.860985    	2202   	2202        	567.930   	222.185	0.1  	5.0           	6.4  	53.1     	081     	1530   	0.981423
145                     	780.7	4.2                     	75                     	8.0     	265                	-113.973010	46.860995    	2209   	2208        	568.819   	222.068	0.1  	5.0           	6.4  	53.0     	081     	1541   	0.980857
146                     	780.0	4.1                     	75                     	8.1     	266                	-113.972900	46.861005    	2215   	2215        	569.707   	221.952	0.1  	4.9           	6.4  	52.9     	081     	1551   	0.980292
147                     	779.4	4.0                     	75                     	8.2     	267                	-113.972789	46.861015    	2222   	2221        	570.611   	221.836	0.0  	4.9           	6.4  	52.8     	081     	1561   	0.979726
148                     	778.8	4.0                     	75                     	8.3     	267                	-113.972679	46.861025    	2228   	2227        	571.500   	221.720	0.0  	4.8           	6.4  	52.7     	081     	1571   	0.979161
149                     	778.2	3.9                     	75                     	8.4     	268                	-113.972568	46.861034    	2234   	2234        	572.389   	221.604	0.0  	4.7           	6.4  	52.6     	081     	1582   	0.978597
150                     	777.6	3.9                     	75                     	8.5     	269                	-113.972458	46.861044    	2241   	2240        	573.278   	221.488	-0.1 	4.7           	6.4  	52.5     	081     	1592   	0.978033
151                     	777.0	3.8                     	76                     	8.5     	268                	-113.972347	46.861054    	2247   	2247        	574.182   	221.372	-0.1 	4.6           	6.4  	52.4     	081     	1602   	0.977468
152                     	776.4	3.8                     	76                     	8.4     	268                	-113.972237	46.861064    	2254   	2253        	575.071   	221.256	-0.1 	4.6           	6.4  	52.3     	081     	1613   	0.976904
153                     	775.7	3.7                     	76                     	8.4     	267                	-113.972127	46.861074    	2260   	2260        	575.960   	221.140	-0.1 	4.5           	6.4  	52.2     	081     	1623   	0.976339
